favorites,id,positive,negative,sentiment
46000,9.69278E+17,0,0,neutral
56000,9.69273E+17,1,0,positive
97000,9.69184E+17,1,0,positive
75000,9.69179E+17,1,0,positive
50000,9.68963E+17,1,0,positive
69000,9.68924E+17,1,0,positive
63000,9.68918E+17,1,0,positive
71000,9.68896E+17,1,0,positive
85000,9.68857E+17,0,1,negative
107000,9.6885E+17,1,0,positive
95000,9.68826E+17,1,0,positive
89000,9.68819E+17,1,0,positive
94000,9.68704E+17,1,0,positive
66000,9.68702E+17,1,0,positive
47000,9.68621E+17,1,0,positive
61000,9.68621E+17,0,0,neutral
54000,9.68551E+17,1,0,positive
99000,9.68549E+17,1,0,positive
87000,9.68468E+17,0,0,neutral
87000,9.68467E+17,0,0,neutral
61000,9.68463E+17,0,1,negative
65000,9.68456E+17,1,0,positive
47000,9.67565E+17,1,0,positive
72000,9.67564E+17,1,0,positive
69000,9.67546E+17,0,1,negative
75000,9.6754E+17,1,0,positive
77000,9.67539E+17,0,1,negative
93000,9.67526E+17,1,0,positive
88000,9.67509E+17,1,0,positive
70000,9.67506E+17,0,1,negative
75000,9.67493E+17,1,0,positive
81000,9.67473E+17,1,0,positive
76000,9.67389E+17,1,0,positive
81000,9.67169E+17,1,0,positive
45000,9.67147E+17,1,0,positive
81000,9.67085E+17,1,0,positive
72000,9.67084E+17,1,0,positive
65000,9.67083E+17,0,1,negative
91000,9.67024E+17,1,0,positive
93000,9.67023E+17,1,0,positive
44000,9.67022E+17,0,0,neutral
117000,9.66998E+17,1,0,positive
104000,9.66847E+17,0,1,negative
78000,9.66766E+17,1,0,positive
97000,9.66712E+17,1,0,positive
100000,9.66687E+17,1,0,positive
86000,9.66682E+17,1,0,positive
180000,9.66662E+17,1,0,positive
100000,9.6666E+17,1,0,positive
118000,9.66657E+17,1,0,positive
96000,9.66654E+17,0,1,negative
83000,9.6665E+17,1,0,positive
100000,9.66488E+17,1,0,positive
79000,9.6642E+17,0,1,negative
70000,9.66377E+17,1,0,positive
109000,9.66322E+17,1,0,positive
142000,9.66317E+17,1,0,positive
77000,9.6612E+17,0,0,neutral
92000,9.66119E+17,1,0,positive
89000,9.66117E+17,0,1,negative
70000,9.66007E+17,1,0,positive
74000,9.65972E+17,0,1,negative
90000,9.65968E+17,1,0,positive
73000,9.65944E+17,0,1,negative
74000,9.65937E+17,1,0,positive
48000,9.65935E+17,1,0,positive
77000,9.65933E+17,1,0,positive
80000,9.65931E+17,1,0,positive
63000,9.65928E+17,0,1,negative
62000,9.65925E+17,1,0,positive
64000,9.6578E+17,1,0,positive
114000,9.65775E+17,1,0,positive
52000,9.65773E+17,1,0,positive
85000,9.65676E+17,0,0,neutral
135000,9.65582E+17,1,0,positive
143000,9.65443E+17,0,1,negative
96000,9.65303E+17,1,0,positive
72000,9.65272E+17,1,0,positive
91000,9.65223E+17,1,0,positive
111000,9.65212E+17,1,0,positive
84000,9.65205E+17,1,0,positive
119000,9.65203E+17,0,0,neutral
102000,9.652E+17,1,0,positive
119000,9.65195E+17,1,0,positive
90000,9.65079E+17,0,1,negative
140000,9.65076E+17,1,0,positive
115000,9.65009E+17,0,0,neutral
54000,9.64957E+17,1,0,positive
99000,9.64949E+17,0,1,negative
85000,9.64947E+17,0,1,negative
67000,9.64944E+17,0,1,negative
91000,9.64939E+17,1,0,positive
111000,9.64724E+17,1,0,positive
132000,9.64595E+17,0,1,negative
91000,9.64512E+17,0,1,negative
113000,9.64509E+17,1,0,positive
58000,9.64233E+17,0,0,neutral
56000,9.64219E+17,0,1,negative
68000,9.64219E+17,0,1,negative
78000,9.64191E+17,0,0,neutral
95000,9.64152E+17,1,0,positive
84000,9.6411E+17,0,1,negative
105000,9.63879E+17,0,1,negative
164000,9.63878E+17,0,1,negative
53000,9.63853E+17,0,0,neutral
61000,9.63839E+17,1,0,positive
100000,9.63365E+17,1,0,positive
99000,9.63363E+17,1,0,positive
63000,9.63153E+17,0,0,neutral
81000,9.63034E+17,1,0,positive
130000,9.63032E+17,0,1,negative
73000,9.62787E+17,1,0,positive
91000,9.62785E+17,1,0,positive
117000,9.62767E+17,1,0,positive
115000,9.62754E+17,0,1,negative
111000,9.6247E+17,1,0,positive
79000,9.62436E+17,0,0,neutral
110000,9.62398E+17,1,0,positive
71000,9.62394E+17,0,1,negative
95000,9.6239E+17,0,0,neutral
127000,9.62349E+17,0,1,negative
98000,9.62345E+17,0,1,negative
109000,9.6233E+17,1,0,positive
60000,9.62326E+17,0,0,neutral
84000,9.61963E+17,1,0,positive
103000,9.6196E+17,1,0,positive
122000,9.61958E+17,1,0,positive
119000,9.61803E+17,1,0,positive
91000,9.61743E+17,1,0,positive
104000,9.61694E+17,1,0,positive
75000,9.61672E+17,0,0,neutral
101000,9.61649E+17,0,0,neutral
99000,9.61557E+17,1,0,positive
102000,9.61368E+17,1,0,positive
66000,9.61362E+17,1,0,positive
61000,9.61299E+17,1,0,positive
127000,9.61271E+17,1,0,positive
105000,9.61253E+17,1,0,positive
157000,9.61073E+17,1,0,positive
170000,9.61039E+17,1,0,positive
71000,9.61008E+17,0,0,neutral
86000,9.60907E+17,0,1,negative
83000,9.60906E+17,0,1,negative
97000,9.6087E+17,1,0,positive
133000,9.60869E+17,0,1,negative
99000,9.60615E+17,1,0,positive
124000,9.60531E+17,1,0,positive
115000,9.60523E+17,0,1,negative
132000,9.60493E+17,0,1,negative
100000,9.60488E+17,1,0,positive
113000,9.60486E+17,0,1,negative
200000,9.60361E+17,1,0,positive
133000,9.60196E+17,1,0,positive
121000,9.59953E+17,1,0,positive
121000,9.5995E+17,0,1,negative
127000,9.59946E+17,1,0,positive
131000,9.59799E+17,0,1,negative
146000,9.59799E+17,1,0,positive
66000,9.59554E+17,1,0,positive
72000,9.59488E+17,0,0,neutral
101000,9.59488E+17,1,0,positive
150000,9.59393E+17,0,0,neutral
129000,9.59389E+17,1,0,positive
115000,9.59268E+17,1,0,positive
173000,9.59034E+17,1,0,positive
115000,9.59032E+17,0,0,neutral
129000,9.59029E+17,1,0,positive
102000,9.5852E+17,1,0,positive
79000,9.5807E+17,1,0,positive
187000,9.57604E+17,1,0,positive
224000,9.57604E+17,0,1,negative
146000,9.57465E+17,1,0,positive
164000,9.57463E+17,0,1,negative
107000,9.57388E+17,1,0,positive
101000,9.57335E+17,0,1,negative
116000,9.57221E+17,0,1,negative
67000,9.57032E+17,1,0,positive
111000,9.56939E+17,0,1,negative
105000,9.56938E+17,1,0,positive
49000,9.56873E+17,1,0,positive
52000,9.5685E+17,1,0,positive
60000,9.56841E+17,1,0,positive
34000,9.56832E+17,1,0,positive
79000,9.56658E+17,1,0,positive
68000,9.56588E+17,1,0,positive
71000,9.56579E+17,1,0,positive
143000,9.56322E+17,1,0,positive
74000,9.56298E+17,1,0,positive
93000,9.56262E+17,1,0,positive
138000,9.56134E+17,1,0,positive
144000,9.56016E+17,1,0,positive
118000,9.56012E+17,1,0,positive
91000,9.55806E+17,1,0,positive
105000,9.55796E+17,1,0,positive
125000,9.55771E+17,1,0,positive
120000,9.55765E+17,0,1,negative
124000,9.55659E+17,1,0,positive
86000,9.55458E+17,0,0,neutral
102000,9.55429E+17,0,1,negative
123000,9.55427E+17,0,1,negative
119000,9.55249E+17,1,0,positive
166000,9.55056E+17,0,1,negative
43000,9.54901E+17,0,0,neutral
144000,9.54878E+17,1,0,positive
122000,9.54844E+17,1,0,positive
194000,9.54788E+17,1,0,positive
157000,9.54722E+17,0,1,negative
114000,9.54682E+17,1,0,positive
145000,9.54681E+17,1,0,positive
115000,9.54678E+17,1,0,positive
135000,9.54674E+17,1,0,positive
109000,9.54541E+17,1,0,positive
61000,9.54478E+17,1,0,positive
120000,9.54457E+17,0,1,negative
90000,9.54423E+17,1,0,positive
46000,9.5439E+17,1,0,positive
41000,9.54386E+17,0,0,neutral
103000,9.54324E+17,0,1,negative
95000,9.54136E+17,1,0,positive
96000,9.54097E+17,1,0,positive
71000,9.54092E+17,1,0,positive
84000,9.53988E+17,0,1,negative
58000,9.53985E+17,0,1,negative
115000,9.53979E+17,0,1,negative
80000,9.53974E+17,1,0,positive
104000,9.53951E+17,0,1,negative
88000,9.53949E+17,0,1,negative
167000,9.53797E+17,1,0,positive
104000,9.53796E+17,1,0,positive
103000,9.53794E+17,0,1,negative
63000,9.53773E+17,1,0,positive
92000,9.53772E+17,1,0,positive
86000,9.53771E+17,1,0,positive
70000,9.53769E+17,1,0,positive
50000,9.53614E+17,0,0,neutral
76000,9.53407E+17,0,0,neutral
93000,9.53406E+17,1,0,positive
52000,9.53361E+17,1,0,positive
69000,9.53352E+17,0,0,neutral
105000,9.53273E+17,1,0,positive
68000,9.53272E+17,0,1,negative
104000,9.53271E+17,0,1,negative
93000,9.53268E+17,0,1,negative
109000,9.53264E+17,1,0,positive
109000,9.53001E+17,0,1,negative
